Team,Year,Games_Counts
ANA,16,81
ANA,17,81
ANA,18,81
ANA,19,79
ATL,16,80
ATL,17,81
ATL,18,83
ATL,19,84
AZ,16,81
AZ,17,83
AZ,18,81
AZ,19,81
BAL,16,81
BAL,17,81
BAL,18,81
BAL,19,81
BOS,16,82
BOS,17,83
BOS,18,87
BOS,19,79
CHC,16,89
CHC,17,86
CHC,18,83
CHC,19,81
CHW,16,81
CHW,17,81
CHW,18,81
CHW,19,80
CIN,16,81
CIN,17,81
CIN,18,81
CIN,19,79
CLE,16,89
CLE,17,84
CLE,18,82
CLE,19,81
COL,16,81
COL,17,81
COL,18,82
COL,19,81
DET,16,80
DET,17,81
DET,18,81
DET,19,81
FLA,16,80
FLA,17,81
FLA,18,81
FLA,19,81
HOU,16,81
HOU,17,87
HOU,18,86
HOU,19,91
KCR,16,81
KCR,17,81
KCR,18,81
KCR,19,80
LAD,16,86
LAD,17,89
LAD,18,90
LAD,19,84
MIL,16,81
MIL,17,81
MIL,18,87
MIL,19,81
MIN,16,81
MIN,17,81
MIN,18,79
MIN,19,82
NYM,16,82
NYM,17,81
NYM,18,81
NYM,19,81
NYY,16,81
NYY,17,87
NYY,18,84
NYY,19,86
OAK,16,81
OAK,17,81
OAK,18,81
OAK,19,80
PHI,16,81
PHI,17,81
PHI,18,80
PHI,19,81
PIT,16,81
PIT,17,81
PIT,18,80
PIT,19,80
SDP,16,81
SDP,17,81
SDP,18,81
SDP,19,81
SEA,16,81
SEA,17,81
SEA,18,81
SEA,19,81
SFG,16,83
SFG,17,81
SFG,18,81
SFG,19,81
STL,16,81
STL,17,81
STL,18,81
STL,19,85
TBD,16,81
TBD,17,81
TBD,18,81
TBD,19,83
TEX,16,83
TEX,17,81
TEX,18,81
TEX,19,81
TOR,16,86
TOR,17,81
TOR,18,81
TOR,19,81
WSN,16,84
WSN,17,84
WSN,18,81
WSN,19,89
