date,winLoss
4/3/2017,1
4/5/2017,0
4/6/2017,1
4/7/2017,0
4/8/2017,0
4/9/2017,1
4/18/2017,0
4/19/2017,1
4/20/2017,0
4/21/2017,0
4/22/2017,0
4/23/2017,0
4/26/2017,0
4/27/2017,0
5/5/2017,1
5/6/2017,1
5/7/2017,0
5/8/2017,1
5/9/2017,1
5/10/2017,0
5/19/2017,1
5/20/2017,1
5/21/2017,0
5/23/2017,1
5/24/2017,0
5/25/2017,0
5/29/2017,1
5/30/2017,1
5/31/2017,0
6/1/2017,0
6/2/2017,0
6/3/2017,1
6/4/2017,0
6/12/2017,1
6/13/2017,0
6/14/2017,1
6/15/2017,0
6/16/2017,0
6/17/2017,0
6/18/2017,1
6/30/2017,1
7/1/2017,1
7/2/2017,0
7/14/2017,1
7/15/2017,1
7/16/2017,0
7/17/2017,0
7/18/2017,0
7/19/2017,1
7/20/2017,1
7/21/2017,1
7/22/2017,1
7/23/2017,0
8/4/2017,0
8/5/2017,0
8/6/2017,0
8/8/2017,1
8/9/2017,0
8/16/2017,0
8/17/2017,0
8/18/2017,0
8/19/2017,1
8/20/2017,0
8/21/2017,0
8/22/2017,0
8/23/2017,1
8/24/2017,0
9/4/2017,1
9/5/2017,0
9/6/2017,1
9/7/2017,1
9/8/2017,1
9/9/2017,1
9/10/2017,0
9/22/2017,1
9/23/2017,0
9/24/2017,0
9/25/2017,1
9/25/2017,0
9/26/2017,1
9/27/2017,1
