winLoss,hapSENcubs,sadSENcubs,neuSENcubs,posPOLcubs,neuPOLcubs,negPOLcubs,yesCOGcubs,noCOGcubs
1,205,75,280,21929,720,30576,33,44764
0,200,71,271,22968,668,31698,18,47002
1,297,88,385,23588,710,31816,16,47177
1,267,88,355,24881,777,34139,22,49717
0,172,88,260,24101,737,32220,26,46883
1,167,64,231,22226,742,30254,22,44482
0,137,67,204,21468,792,29420,23,42445
1,143,65,208,20166,782,28715,26,40864
1,166,58,224,22923,624,31070,21,46171
1,167,66,233,24461,719,33268,22,49167
0,165,71,236,24085,618,32851,20,48673
1,166,90,256,22602,641,31404,30,45847
1,142,89,231,22925,757,31669,17,45162
1,134,89,223,21945,667,30109,28,43659
0,148,75,223,23081,773,30856,30,45880
1,148,73,221,24383,709,32371,28,48343
1,164,74,238,25375,769,33913,25,50645
1,189,81,270,25075,639,33577,37,50288
0,175,84,259,23063,754,31885,28,47096
1,155,62,217,22787,762,31521,25,46212
1,151,100,256,21665,846,31382,27,45098
0,156,80,236,25594,797,33400,34,50563
1,183,87,270,23775,751,32485,22,48623
1,157,95,252,25330,658,34112,31,50821
0,169,97,266,24709,636,33120,28,49433
0,218,92,310,25327,709,34194,31,50768
1,193,77,270,23133,742,31274,24,45300
0,168,79,247,23648,817,31603,29,46635
1,160,58,218,22967,579,31081,36,46380
1,174,77,251,23430,620,32008,29,47386
1,190,65,255,25072,720,33417,23,50356
0,170,67,237,25604,792,34660,20,51620
1,161,78,239,24391,731,33493,21,49310
1,111,67,178,21884,618,29775,28,43409
1,160,74,234,22491,616,30817,33,45002
0,168,83,251,24098,679,32115,34,48247
1,189,82,271,25811,715,34543,33,51637
1,186,85,271,26628,720,35499,36,52536
0,174,93,267,26759,751,36178,23,52806
0,152,70,222,23936,686,32175,33,46878
1,152,80,232,22746,684,30642,21,44487
1,143,68,211,23671,681,31709,32,46881
0,137,89,226,24769,746,33448,24,49466
0,173,93,266,25210,746,33387,25,49758
1,180,93,273,27935,856,36934,29,54787
1,136,76,212,21739,676,29359,16,42920
1,169,86,255,24486,639,32591,27,47976
1,166,83,249,25387,668,33207,24,49166
0,172,81,253,24830,642,32112,27,48962
1,150,82,232,27195,729,35143,25,53886
1,174,74,248,27312,701,35165,26,53084
1,145,79,224,26358,784,34697,30,51797
1,135,73,208,25025,681,32870,26,48572
0,138,62,200,24808,721,32465,23,47949
1,156,79,235,26039,628,34869,28,51274
1,150,79,229,24308,695,32335,26,47269
1,133,86,219,26317,796,32348,32,51114
1,138,98,236,25785,762,32922,15,51111
0,159,96,255,26098,732,33679,20,51461
1,161,79,240,26395,674,34079,24,51737
1,161,76,237,23939,718,31540,14,47113
1,148,70,218,23889,621,31563,18,47039
1,142,95,237,24310,650,32601,35,48003
0,157,84,241,23582,632,32306,23,47130
0,136,68,204,22093,732,29756,21,43200
0,134,65,199,22399,678,30168,28,44936
1,160,75,235,24149,733,32594,28,47393
0,147,64,211,23926,822,31844,39,45500
0,125,68,193,22821,853,29956,30,43926
1,109,70,179,20822,741,27858,21,40751
1,126,58,184,20781,737,27184,27,40637
1,121,72,193,24575,705,32830,25,48898
1,121,82,203,20948,579,28409,26,41126
1,125,73,198,24493,747,31713,53,46413
1,137,74,211,21863,692,29172,26,43334
0,141,64,205,22356,654,29347,19,43915
0,150,71,221,21951,597,29444,27,43574
0,142,67,209,22707,711,30342,20,44906
0,138,64,202,24539,704,32820,27,48173
0,118,68,186,25304,780,33538,31,48687
0,122,75,197,24388,673,31936,30,47299
